source_key,title,requested_url,canonical_url,retrieved_at_utc,http_status,source_date,authority,standards_status,acquisition_method,local_path,sha256,coverage_limitations
MIS-017,"ERC-5267: Retrieval of EIP-712 domain",https://eips.ethereum.org/EIPS/eip-5267,https://eips.ethereum.org/EIPS/eip-5267,2026-09-03T13:00:58Z,200,2022-07-14,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-5267.md,d245445b92255e411eabc2a7e7df1f5e58fa1da997e4cf87dd37191cfb70acd0,"EVM domain discovery pattern only"
MIS-018,"ERC-6492: Signature Validation for Predeploy Contracts",https://eips.ethereum.org/EIPS/eip-6492,https://eips.ethereum.org/EIPS/eip-6492,2026-09-03T13:00:31Z,200,2023-02-10,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-6492.md,a0317bf5ae24191579457b10ae6bc47da498a20d8d4f32bc56fa23fd2dc3e89d,"Predeployment signature pattern requires a Midnight-specific decision"
MIS-019,"ERC-6900: Modular Smart Contract Accounts",https://eips.ethereum.org/EIPS/eip-6900,https://eips.ethereum.org/EIPS/eip-6900,2026-09-03T13:00:59Z,200,2023-04-18,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-6900.md,c9ea4b322e6d90be1e6dec1a841efbbdc9be7d6e6a2ab7b2c0fdc9d34cf6fb33,"Non-final EVM account module model"
MIS-020,"ERC-7521: General Intents for Smart Contract Wallets",https://eips.ethereum.org/EIPS/eip-7521,https://eips.ethereum.org/EIPS/eip-7521,2026-09-03T13:00:27Z,200,2023-09-19,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7521.md,a553fafeef9307fbd8ab9e18cb21bd32ff6ce131c735b01db9d02ff5b63ee04e,"Non-final general intent and arbitrary segment model"
MIS-021,"ERC-7540: Asynchronous ERC-4626 Tokenized Vaults",https://eips.ethereum.org/EIPS/eip-7540,https://eips.ethereum.org/EIPS/eip-7540,2026-09-03T13:01:01Z,200,2023-10-18,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7540.md,044fabbbcba48c32c856a3586d59b0e56fab5a8d082f1d64f6ac87d5602bffb1,"Asynchronous vault interface is comparative evidence only"
MIS-022,"ERC-7575: Multi-Asset ERC-4626 Vaults",https://eips.ethereum.org/EIPS/eip-7575,https://eips.ethereum.org/EIPS/eip-7575,2026-09-03T13:01:01Z,200,2023-12-11,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7575.md,55ecb90b4e852fe15ad3fd235288f40ca91ff8bbd4d11f58c1a56355fdfa0698,"Multi-asset vault interface is comparative evidence only"
MIS-023,"ERC-7579: Minimal Modular Smart Accounts",https://eips.ethereum.org/EIPS/eip-7579,https://eips.ethereum.org/EIPS/eip-7579,2026-09-03T13:00:59Z,200,2023-12-14,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7579.md,050d42b37a92a9b2e56b6e51da2713b9990cb81953f44ce25d0c9419ddacd914,"Non-final EVM smart-account interface"
MIS-024,"ERC-7683: Cross Chain Intents",https://eips.ethereum.org/EIPS/eip-7683,https://eips.ethereum.org/EIPS/eip-7683,2026-09-03T13:00:27Z,200,2024-04-11,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7683.md,edddc1a9d76f84faadba7d8e7743fdb14cd286ac397d00ac88b0b5df21aa39a5,"Current draft is resolver-centric and does not guarantee settlement security"
MIS-025,"ERC-7710: Smart Contract Delegation",https://eips.ethereum.org/EIPS/eip-7710,https://eips.ethereum.org/EIPS/eip-7710,2026-09-03T13:00:30Z,200,2024-05-20,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7710.md,f4775238dd46cd5dc58ca07eafec29cc8bbc3be303235b686e4bf1b4e9730874,"Non-final EVM delegation interface"
MIS-026,"ERC-7715: Request Permissions from Wallets",https://eips.ethereum.org/EIPS/eip-7715,https://eips.ethereum.org/EIPS/eip-7715,2026-09-03T13:00:30Z,200,2024-05-24,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7715.md,2d3fc54a5c724e2f808775dd1274ce9e6b3f25f789510e1eec572d1455a09cdb,"Non-final wallet permission request model"
MIS-027,"ERC-7739: Readable Typed Signatures for Smart Accounts",https://eips.ethereum.org/EIPS/eip-7739,https://eips.ethereum.org/EIPS/eip-7739,2026-09-03T13:00:31Z,200,2024-05-28,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7739.md,e5849078c4143830e722e6d7baf8476056878612a9fb2174c1095f629a331871,"Non-final defensive signature-rehashing model"
MIS-028,"ERC-7802: Token With Mint/Burn Access Across Chains",https://eips.ethereum.org/EIPS/eip-7802,https://eips.ethereum.org/EIPS/eip-7802,2026-09-03T13:00:58Z,200,2024-10-30,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7802.md,5ec0352d5176e313aff5be6eb56909fe97b0e811c81b433ed7885f9e70435c6d,"Non-final cross-chain token access interface"
MIS-029,"ERC-7821: Minimal Batch Executor Interface",https://eips.ethereum.org/EIPS/eip-7821,https://eips.ethereum.org/EIPS/eip-7821,2026-09-03T13:02:13Z,200,2024-11-21,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-7821.md,bce1f38b999a32ed588e1c2bd5a6c1134f557eb12ccf6927b7d415645d461887,"Non-final EVM batch-execution interface"
