corpus_ordinal,legacy_id,legacy_category,protocol,elements,construction_status,recommended_family,secondary_families,subtype,facets,moriarty_kernel,family_pattern_id,legacy_pattern_id,mapping_basis,source_commit,source_file
29,D05,Perpetuals / derivatives,GMX V2 Perps,Pm|Sh|Im|Ex|Ct|Pf|Sr|Li|Ad|Em|Tg|Up|Gp,not_in_60_suite,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
30,D06,Yield / vaults / aggregators,Pendle,Ix|Py|Ft|Rd|Ep|Em|Up|Gp,included,F6,,yield_tokenization,price_discovery:yield,yes,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
31,D06,Yield / vaults / aggregators,Spark Savings (sUSDS / Sky Savings Rate),Sh|Ix|Sr|Rd|Ps|Xf|Tg|Gp|Up,included,F6,,savings_rate_vault,mandate:rules,yes,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
32,D06,Yield / vaults / aggregators,Convex Finance,Sh|Ix|Em|Ep|Tg|Up|Gp,included,F6,,boost_aggregator,mandate:rules,yes,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
33,D06,Yield / vaults / aggregators,CIAN Yield Layer,Sh|Ix|Fl|Ct|Ex|Wq|Em|Up|Gp,included,F6,,managed_vault,mandate:bounded|strategy:external,no,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
34,D06,Yield / vaults / aggregators,Huma Finance V2,Uc|Tr|Sh|Ix|Ft|Bs|Ep|Wq|Aw|At,included,F6,F5,receivables_credit,legal:rwa|mandate:bounded,no,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
35,D06,Yield / vaults / aggregators,Yearn Finance,Sh|Ix|Sr|Wq|Em|Tg|Up|Gp,not_in_60_suite,F6,,strategy_vault,strategy:bounded_library,yes,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
36,D06,Yield / vaults / aggregators,Beefy,Sh|Ix|Em|Up|Gp,not_in_60_suite,F6,,strategy_vault,strategy:bounded_library,yes,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
37,D06,Yield / vaults / aggregators,Steakhouse Financial,Sh|Ix|Im|Ct|Ex|Tg|Gp|Up,not_in_60_suite,F6,,risk_curated_vault,mandate:bounded|strategy:external,no,management.bounded_allocation_mandate,asset_management.capped_share_vault,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
38,D07,Bridges / cross-domain,WBTC,Xf|At|Aw|Rd|Gp|Tg,included,F5,,custodial_wrapped_claim,settlement:custodial_wrapped|custody:offchain,no,claim.reserve_backed_unit,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
39,D07,Bridges / cross-domain,LayerZero V2,Xm|Xf|Up|Gp|Tg,included,infrastructure,,message_verified_bridge,settlement:message_verified,no,outside_core.explicit_capability,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
40,D07,Bridges / cross-domain,Coinbase Bridge (cbBTC and other wrapped assets),Xf|At|Aw|Rd|Gp|Up,included,F5,,custodial_wrapped_claim,settlement:custodial_wrapped|custody:offchain,no,claim.reserve_backed_unit,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
41,D07,Bridges / cross-domain,Hyperliquid Bridge,Xf|Xm|Vl|Wq|Gp|Bs,included,infrastructure,,message_verified_bridge,settlement:message_verified,no,outside_core.explicit_capability,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
42,D07,Bridges / cross-domain,Binance Bitcoin (BTCB),Xf|At|Aw|Rd|Gp,included,F5,,custodial_wrapped_claim,settlement:custodial_wrapped|custody:offchain,no,claim.reserve_backed_unit,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
43,D07,Bridges / cross-domain,Circle CCTP,Xf|Xm|Aw,not_in_60_suite,infrastructure,,message_verified_bridge,settlement:message_verified,no,outside_core.explicit_capability,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
44,D07,Bridges / cross-domain,Across,In|Of|Oa|Pl|Sh|Ix|Xm|Xf,not_in_60_suite,infrastructure,,intent_bridge,settlement:cross_domain|execution:intent,no,outside_core.explicit_capability,settlement.threshold_attested_bridge,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
45,D08,Intents / aggregation / order flow,LiquidMesh,Ag,included,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
46,D08,Intents / aggregation / order flow,Binance Wallet,Ag|Rf,included,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
47,D08,Intents / aggregation / order flow,OKX DEX,Ag|Rf,included,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
48,D08,Intents / aggregation / order flow,Jupiter,Ag|Rf|In,included,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
49,D08,Intents / aggregation / order flow,KyberSwap,Ag,included,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
50,D08,Intents / aggregation / order flow,DFlow,Ag|Rf|Aw,not_in_60_suite,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
51,D08,Intents / aggregation / order flow,1inch,Ag|In|Rf,not_in_60_suite,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
52,D08,Intents / aggregation / order flow,CoW Swap,Ba|In|Ag|Rf|Fl|Bs|Em,not_in_60_suite,F1,,solver_or_aggregator_access,execution:intent_or_aggregated,no,exchange.constant_product_swap,execution.bounded_solver_intent,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
53,D09,RWA / tokenised treasuries & private credit,Ondo Finance (USDY + OUSG + Global Markets),Aw|Sh|Ix|Rb|Tr|At|Ex|Rd|Fz|Xf|Xm|Up|Gp|Tg,included,F5,,tokenized_offchain_claim,legal:rwa|custody:offchain,no,claim.reserve_backed_unit,capital.tokenized_asset_subscription,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
54,D09,RWA / tokenised treasuries & private credit,Circle USYC (Hashnote International Short Duration Yield Fund Ltd.),Aw|Sh|At|Ex|Rd|Fz|Up|Gp,included,F5,,tokenized_offchain_claim,legal:rwa|custody:offchain,no,claim.reserve_backed_unit,capital.tokenized_asset_subscription,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
55,D09,RWA / tokenised treasuries & private credit,"BlackRock BUIDL (BlackRock USD Institutional Digital Liquidity Fund, via Securitize)",Aw|Sh|At|Rd|Ps|Fz|Xf|Xm|Up|Gp,included,F5,,tokenized_offchain_claim,legal:rwa|custody:offchain,no,claim.reserve_backed_unit,capital.tokenized_asset_subscription,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
56,D09,RWA / tokenised treasuries & private credit,Maple Finance (syrupUSDC / syrupUSDT + institutional pools),Aw|Pl|Sh|Ct|Ft|Sv|Wq|Bs|Em|Fd|Up|Gp|Tg,included,F5,F2,private_credit_claim,legal:rwa|mandate:delegate,no,claim.reserve_backed_unit,capital.tokenized_asset_subscription,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
57,D09,RWA / tokenised treasuries & private credit,Centrifuge (Centrifuge Protocol V3),Aw|Sh|Tr|At|Ex|Ep|Wq|Sv|Xm|Xf|Up|Gp|Tg,included,F5,,tokenized_offchain_claim,legal:rwa|custody:offchain,no,claim.reserve_backed_unit,capital.tokenized_asset_subscription,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
58,D10,Options / structured products,Derive (formerly Lyra V2),Ob|Rf|Op|Pf|Ct|Li|Bs|Sh|Xf|Xm|Ex|Em|Up|Gp,included,F3,,option_or_structured_derivative,oracle:price,yes,derivative.escrowed_option,derivative.european_option,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
59,D10,Options / structured products,Rysk V12,Sh|Op|Dp|Ep|Wq|Ct|Ex|Em|Up|Gp,included,F3,,option_or_structured_derivative,oracle:price,yes,derivative.escrowed_option,derivative.european_option,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
60,D10,Options / structured products,Hegic,Op|Sh|Ex|Up|Gp,included,F3,,option_or_structured_derivative,oracle:price,yes,derivative.escrowed_option,derivative.european_option,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
61,D10,Options / structured products,Aevo (Ribbon Finance lineage),Ob|Op|Pf|Ct|Li|Sh|Xf|Xm|Ex|Em|Up|Gp,included,F3,,option_or_structured_derivative,oracle:price,yes,derivative.escrowed_option,derivative.european_option,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
62,D10,Options / structured products,Panoptic V2,Cl|Op|Sr|Pl|Ct|Li|Sh|Up|Gp,included,F3,,option_or_structured_derivative,oracle:price,yes,derivative.escrowed_option,derivative.european_option,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
63,D11,Reserve-backed / fiat stablecoin issuers,Tether USDT,Ps|Rd|At|Fz|Up,included,F5,,reserve_backed_monetary_claim,legal:reserve|custody:offchain,no,claim.reserve_backed_unit,money.reserve_attested_stablecoin,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
64,D11,Reserve-backed / fiat stablecoin issuers,Circle USDC,Ps|Rd|At|Fz|Aw|Xm|Xf|Up|Gp,included,F5,,reserve_backed_monetary_claim,legal:reserve|custody:offchain,no,claim.reserve_backed_unit,money.reserve_attested_stablecoin,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
65,D11,Reserve-backed / fiat stablecoin issuers,World Liberty Financial USD1,Ps|Rd|At|Fz|Up,included,F5,,reserve_backed_monetary_claim,legal:reserve|custody:offchain,no,claim.reserve_backed_unit,money.reserve_attested_stablecoin,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane3-rwa-options-stables-prediction.json
