repository	category	status	description	default_branch	local_head	head_commit_date	github_pushed_at	language	archived_api	fork	open_issues_and_prs_api	local_tag_count	security_policy	codeowners	replacement	html_url
midnightntwrk/rs-merkle	infrastructure or dependency fork	S3/S6 unclear	The most advanced Merkle tree library for Rust	master	7c997a58410ae9a23e0513d5eed6cfb410633dc8	2025-10-10T14:44:21-04:00	2025-10-13T10:17:13Z	Rust	False	True	0	0	False	False		https://github.com/midnightntwrk/rs-merkle
midnightntwrk/create-mn-app	unclear	unverified	Open-source package to improve developer onboarding for Midnight Network	main	bdc86733d2a9d2e381cb050aec4fdde7b33559b4	2026-09-01T14:30:26+01:00	2026-09-01T22:10:10Z	TypeScript	False	False	6	1	True	True		https://github.com/midnightntwrk/create-mn-app
midnightntwrk/midnight-dapp-connector-api	active and authoritative	S4-S6; deployment not inferred	API enabling DApps to interact with wallet software while controlling data access and security.	main	4392de7cd0f147659456e0830adcfad377adbdbb	2026-08-21T09:51:01+01:00	2026-08-31T04:44:59Z	TypeScript	False	False	16	0	True	True		https://github.com/midnightntwrk/midnight-dapp-connector-api
midnightntwrk/midnight-wallet	active and authoritative	S4-S6; deployment not inferred	Midnight's wallet core development	main	6e1050e5fcb6ac82b6c9fe8eabf4536e3f5807ca	2026-08-21T13:26:53-04:00	2026-09-02T12:49:34Z	TypeScript	False	False	88	0	True	True		https://github.com/midnightntwrk/midnight-wallet
midnightntwrk/night-token-distribution	unclear	unverified	Night Token Distribution	main	5d740a2050cd19206cfe0cefec6628a9d5b8119f	2026-08-12T08:34:39+01:00	2026-08-12T07:34:41Z	Haskell	False	False	0	0	True	True		https://github.com/midnightntwrk/night-token-distribution
midnightntwrk/midnight-verifiable-credentials	active but experimental	S3/S5	This Repository is Managed by Terraform	main	12cd540967271ed4fec83c1d95b44426d3a9631d	2026-08-27T22:07:12+07:00	2026-09-02T17:45:40Z	JavaScript	False	False	72	0	True	True		https://github.com/midnightntwrk/midnight-verifiable-credentials
midnightntwrk/midnight-wallet-dapp	unclear	unverified	Midnight wallet dapp	main	0e6fdf9f3d7ee43d3ec4ef895ec2a79f4eaf50c7	2026-08-24T09:45:07+01:00	2026-08-26T06:23:44Z	TypeScript	False	False	8	0	True	True		https://github.com/midnightntwrk/midnight-wallet-dapp
midnightntwrk/substrate-telemetry	infrastructure or dependency fork	S3/S6 unclear	Polkadot Telemetry service	master	cd66b649e8b827dd7290617b24aaf368295fd21a	2026-03-25T16:45:48-04:00	2026-03-25T20:45:48Z	Rust	False	True	0	0	False	True		https://github.com/midnightntwrk/substrate-telemetry
midnightntwrk/example-zkloan	demonstration/example material	S3	An Example DApp for ZKLoans	main	eff9030d509f98938914c1b2b721acb88fc1e42c	2026-09-01T16:41:17+01:00	2026-09-01T15:43:08Z	TypeScript	False	False	3	0	True	True		https://github.com/midnightntwrk/example-zkloan
midnightntwrk/example-kitties	demonstration/example material	S3	An Example DApp for Kitties	main	2854b0964136033022eaf7110900802fcfb6ef91	2026-08-21T10:00:00+01:00	2026-08-31T23:01:29Z	TypeScript	False	False	13	0	True	True		https://github.com/midnightntwrk/example-kitties
midnightntwrk/midnight-expert	active but experimental	S3	AI tooling support (Claude)	main	5d92aed95dc66c83a9526129cb2190c1fb1842ec	2026-09-02T13:06:24-04:00	2026-09-02T17:06:24Z	TypeScript	False	False	7	0	True	True		https://github.com/midnightntwrk/midnight-expert
midnightntwrk/servicedesk	infrastructure or deployment support	S3/S6	Service Desk for Midnight	main	db43d690440b7cb41e99b38d81b03d01bcb178ff	2026-09-02T10:30:54-04:00	2026-09-02T14:30:57Z	HTML	False	False	13	0	True	True		https://github.com/midnightntwrk/servicedesk
midnightntwrk/midnight-dust-generator	unclear	unverified	Midnight Dust Generator example implementation	main	ac7c3fc1d8c9c652ba75e1ab0fe1e03ac59d9ff0	2026-07-29T08:33:20-04:00	2026-08-21T13:13:29Z	TypeScript	False	False	8	0	True	True		https://github.com/midnightntwrk/midnight-dust-generator
midnightntwrk/midnight-local-dev	infrastructure or deployment support	S3/S6	Midnight local development environment	main	902561ddc27a4b096f19835ab1528f38ace515f1	2026-08-27T18:19:00+01:00	2026-09-01T02:10:14Z	TypeScript	False	False	3	0	True	True		https://github.com/midnightntwrk/midnight-local-dev
midnightntwrk/example-hello-world	demonstration/example material	S3	An Example Hello World DApp	main	67b8c9a0c76eebadfcc6d2de638dae21a20fb2fc	2026-08-19T13:14:06+01:00	2026-09-02T01:02:15Z	TypeScript	False	False	5	0	True	True		https://github.com/midnightntwrk/example-hello-world
midnightntwrk/partner-chains	archived	S0	Partner Chains	main	ea4f8bdf9b894fbd4d9e7a9250e6485df3054106	2026-04-08T08:56:41+01:00	2026-04-09T10:04:16Z	Rust	True	False	7	0	True	False		https://github.com/midnightntwrk/partner-chains
midnightntwrk/partner-chains-smart-contracts	unclear	unverified	Partner Chains Smart Contracts	main	8d57492a9d9a8e3ccda4165bf2ec61f98aa9430c	2025-09-25T16:45:13+02:00	2026-07-26T01:39:24Z	Haskell	False	False	1	1	False	False		https://github.com/midnightntwrk/partner-chains-smart-contracts
midnightntwrk/rust-yamux	infrastructure or dependency fork	S3/S6 unclear	Multiplexer over reliable, ordered connections.	master	5c19d4e744ffe9dab5d9eac662d88ae1f361dae1	2026-03-13T23:30:19+01:00	2026-03-19T19:23:54Z		False	True	0	0	False	False		https://github.com/midnightntwrk/rust-yamux
midnightntwrk/midnight-tip-jar	demonstration/example material	S3	A Midnight tip jar example DApp	main	5008eb8aa786f09aadc594ff5fc8baff3cc3be74	2026-08-17T04:41:00Z	2026-09-01T01:33:56Z	TypeScript	False	False	11	0	True	True		https://github.com/midnightntwrk/midnight-tip-jar
midnightntwrk/example-nft-contracts	demonstration/example material	S3	Example NFT contracts for Midnight	main	212223d340ba6e4655ce40aa89725f156d69403e	2026-08-19T10:57:32+01:00	2026-08-31T23:02:23Z	TypeScript	False	False	5	0	True	True		https://github.com/midnightntwrk/example-nft-contracts
midnightntwrk/midnight-leaderboard	demonstration/example material	S3	A Midnight leaderboard example DApp	main	69a2956df4a072a1d918531c44683001964a7daf	2026-08-14T03:58:27+01:00	2026-08-25T02:35:07Z	MDX	False	False	2	0	True	True		https://github.com/midnightntwrk/midnight-leaderboard
midnightntwrk/cquisitor-lib	infrastructure or dependency fork	S3/S6 unclear		main	9cbd642e1b4112a102b43b7f78f0f39467013d6b	2026-01-26T00:46:38+01:00	2026-03-27T07:06:22Z		False	True	0	0	False	False		https://github.com/midnightntwrk/cquisitor-lib
midnightntwrk/whisky	infrastructure or dependency fork	S3/S6 unclear	An open-source Rust library for easy Cardano transaction building and unit testing	master	bae4b2e34bff68fe0be328e1f8290f708b9e1172	2026-08-07T09:23:51+01:00	2026-08-07T08:23:51Z	Rust	False	True	0	0	True	False		https://github.com/midnightntwrk/whisky
midnightntwrk/renovate-config	infrastructure or deployment support	S3/S6	Org-wide hardened Renovate preset for midnightntwrk	main	5a65461c33f64f9ac40d9102956a8e3b70d6321a	2026-08-14T13:48:32-04:00	2026-08-14T17:48:34Z		False	False	0	0	False	False		https://github.com/midnightntwrk/renovate-config
midnightntwrk/example-private-party	demonstration/example material	S3	Example Private Party DApp	main	62ca6e7e35f9df725f7f77d280d294ac37f2aca7	2026-08-25T10:03:38+01:00	2026-08-26T02:23:30Z	TypeScript	False	False	3	0	True	True		https://github.com/midnightntwrk/example-private-party
midnightntwrk/example-battleship	demonstration/example material	S3	Example Battleship DApp	main	c0af8e10b2673d9f034ec9db5213778d33cfbc4f	2026-08-17T05:15:44+01:00	2026-09-01T02:13:30Z	TypeScript	False	False	3	0	True	True		https://github.com/midnightntwrk/example-battleship
midnightntwrk/example-locker	demonstration/example material	S3	Example Locker DApp	main	b72a82d01df1817f90871fd4909b24ec78c1df7a	2026-08-16T05:23:16+01:00	2026-08-26T07:15:12Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/example-locker
midnightntwrk/parity-db	infrastructure or dependency fork	S3/S6 unclear	Experimental blockchain database	master	d44ef4fafd15ed8326e74b88f2558afaf458f7f6	2026-05-08T14:20:57+02:00	2026-05-08T12:20:57Z	Rust	False	True	0	0	False	False		https://github.com/midnightntwrk/parity-db
midnightntwrk/midnight-engineering	active and authoritative	S2 documentation	Midnight engineering documents for sharing with the Foundation and partners	main	f00271747b279b32cb18ed6ec8545e82e3b127e1	2026-08-16T05:35:31+01:00	2026-08-26T10:53:36Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/midnight-engineering
midnightntwrk/passport	active but experimental	S3		main	ad2f2db559a099026c0bb56fe31e0d1b50dfa1c4	2026-08-26T16:20:28+02:00	2026-09-02T16:27:07Z	TypeScript	False	False	74	0	False	False		https://github.com/midnightntwrk/passport
midnightntwrk/learn-compact	active but experimental	S3	The definitive guide to learning Compact, Midnight's zero-knowledge smart contract language	main	73d34a0afcfbfc0938cbd25dd19d1002655671c3	2026-05-01T09:49:12-04:00	2026-05-01T13:49:13Z		False	False	0	0	False	False		https://github.com/midnightntwrk/learn-compact
midnightntwrk/compact-playground	active but experimental	S3	Compile, format, analyze and diff Compact smart contracts through a simple REST API	main	f6f9cebe65acdd94a284f69f2b9afacd9f529aae	2026-05-01T09:49:15-04:00	2026-05-01T13:49:16Z		False	False	0	0	False	False		https://github.com/midnightntwrk/compact-playground
midnightntwrk/midnight-faucet-ui	infrastructure or deployment support	S3/S6	Faucet UI — separated from midnight-faucet for open-sourcing	main	c06a9563666e77506e8f005127f31ef08c696c9d	2026-09-01T13:21:51+01:00	2026-09-01T12:22:34Z	TypeScript	False	False	5	0	True	True		https://github.com/midnightntwrk/midnight-faucet-ui
midnightntwrk/midnight-trust-registry	active but experimental	S3/S5	This Repository is Managed by Terraform	main	9e46b27c19f4d3bb4f2a4d2ce46c69caee4ba03f	2026-08-17T06:47:11+01:00	2026-08-24T23:54:13Z	Shell	False	False	21	0	True	True		https://github.com/midnightntwrk/midnight-trust-registry
midnightntwrk/platform-js	unclear	S1 placeholder	This Repository is Managed by Terraform	main	5a20f685e6ff0f6cc3424002aa00601ffbab346d	2026-08-17T05:40:58+01:00	2026-08-27T19:24:23Z	Shell	False	False	2	0	True	True		https://github.com/midnightntwrk/platform-js
midnightntwrk/compact-js	unclear	S1 placeholder	This Repository is Managed by Terraform	main	4d455329d9b267ef4e314f02607a3028fa246f20	2026-08-16T05:32:43+01:00	2026-08-27T17:34:28Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/compact-js
midnightntwrk/midnight-verifiable-credential-digital-passport	active but experimental	S3/S5	This Repository is Managed by Terraform	main	0489efa2d3916eb665817f5e9673e069a332089a	2026-08-26T16:36:48+07:00	2026-09-02T10:05:24Z	JavaScript	False	False	19	0	True	True		https://github.com/midnightntwrk/midnight-verifiable-credential-digital-passport
midnightntwrk/midnight-faucet-api	infrastructure or deployment support	S3/S6	Midnight faucet API — open-sourced from midnight-faucet	main	299f18b980c167f78e4f38be960472d4545ff9eb	2026-08-21T16:13:06-04:00	2026-09-02T09:12:44Z	TypeScript	False	False	16	0	True	True		https://github.com/midnightntwrk/midnight-faucet-api
midnightntwrk/example-shielded-chips	demonstration/example material	S3	An Example Shielded Chips DApp	main	c492c85fbe9a95f90a210453cb0f87f87c175f73	2026-08-25T10:08:30+01:00	2026-08-27T04:33:57Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/example-shielded-chips
midnightntwrk/midnight-passport-sdk	active but experimental	S3/S5	Midnight Passport SDK	main	0c1342d3b35a4ac2b969acc13b0bf98a64012489	2026-08-28T11:18:46+02:00	2026-09-02T01:16:12Z	JavaScript	False	False	5	0	True	True		https://github.com/midnightntwrk/midnight-passport-sdk
midnightntwrk/k-rust	active but experimental	S3		main	687ccd01e4708c495358c834c3685f297ecc8ac6	2026-09-02T13:00:31-04:00	2026-09-02T17:23:20Z	Rust	False	False	0	0	False	False		https://github.com/midnightntwrk/k-rust
midnightntwrk/k-framework-ts	active but experimental	S3	K framework frontend utilities in typescript	main	120e1dba90adb04f4730f90d8c0c516b30822811	2026-08-14T06:20:23+09:00	2026-08-13T21:23:51Z	TypeScript	False	False	1	0	False	False		https://github.com/midnightntwrk/k-framework-ts
midnightntwrk/workflows	infrastructure or deployment support	S3/S6	Reusable GitHub Actions workflows (label and lifecycle automation)	main	2a516da4425edff87dd8d080bfb1c4125866f727	2026-08-20T09:22:47-04:00	2026-08-28T05:45:05Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/workflows
midnightntwrk/midnight-zkir	active and authoritative	S4-S6; deployment not inferred	Midnight ZKIR (zero-knowledge intermediate representation), split out from midnight-ledger.	zkir-v3	2ffe2d17bbb736aec36fb300aeaca679a10d2278	2026-09-01T14:27:25+01:00	2026-09-02T10:12:46Z	Rust	False	False	2	0	False	False		https://github.com/midnightntwrk/midnight-zkir
midnightntwrk/passport-demo	demonstration/example material	S3	Midnight Passport Demo	main	94f124493b863f92c74763d3f9e667edc5263a67	2026-08-31T14:56:15-04:00	2026-09-02T13:22:18Z	TypeScript	False	False	8	0	True	True		https://github.com/midnightntwrk/passport-demo
