corpus_ordinal,lane,legacy_id,legacy_category,protocol,rank_basis,element_count,elements,residue_count,forced_count,order_known,construction_status,construction_app,construction_spec,construction_match_basis,product_family,instrument_family,mechanism_family,trust_facets,disposition,mapping_status,canonical_pattern_id,mapping_basis,source_commit,source_file
11,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D02,Lending,Compound V3,"$1,126.4M TVL, DefiLlama 2026-08-04, rank 6 — below the top five, included because the brief asks whether Aave and Compound decompose identically",12,Im|Pl|Ix|Rb|Ct|Ex|Li|Sl|Em|Up|Tg|Gp,4,3,true,not_in_60_suite,,,,PF-CREDIT,IN-DEBT,ME-DEBT|ME-COLL,,preserve_rename,category_level_draft,credit.collateralized_term_loan,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
12,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D03,CDP / collateral-backed stablecoins,"Sky (Sky Lending, ex-MakerDAO)","$5,665.3M TVL (Sky Lending), DefiLlama 2026-08-04, rank 1 of category 'CDP'",14,Cd|Ct|Ex|Li|Ix|Ps|Sl|At|Fd|Em|Xf|Up|Tg|Gp,5,4,true,included,"Sky (Sky Lending, ex-MakerDAO)",expansion/03-cdp-stablecoins/specs/sky.json,normalized_exact,PF-CREDIT|PF-MONEY,IN-DEBT|IN-MONEY,ME-COLL|ME-ISSUE,,merge_convert,category_level_draft,money.collateralized_debt_position,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
13,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D03,CDP / collateral-backed stablecoins,Ethena (USDe / sUSDe),"$3,872.9M TVL, DefiLlama 2026-08-04. DefiLlama files it under 'Basis Trading', not 'CDP' — included here because it is the second-largest collateral-backed synthetic dollar and is the assigned delta-neutral stress test",16,Sh|Ix|Rd|Aw|At|Ex|Wq|Tr|Bs|Dp|Fz|Xf|Em|Up|Tg|Gp,6,7,false,included,Ethena (USDe / sUSDe),expansion/03-cdp-stablecoins/specs/ethena.json,normalized_exact,PF-CREDIT|PF-MONEY,IN-DEBT|IN-MONEY,ME-COLL|ME-ISSUE,,merge_convert,category_level_draft,money.collateralized_debt_position,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
14,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D03,CDP / collateral-backed stablecoins,USDD,"$1,299.4M TVL, DefiLlama 2026-08-04, rank 2 of category 'CDP'",13,Cd|Ct|Ex|Li|Ix|Ps|Sl|At|Em|Xf|Up|Tg|Gp,4,3,true,included,USDD,expansion/03-cdp-stablecoins/specs/usdd.json,normalized_exact,PF-CREDIT|PF-MONEY,IN-DEBT|IN-MONEY,ME-COLL|ME-ISSUE,,merge_convert,category_level_draft,money.collateralized_debt_position,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
15,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D03,CDP / collateral-backed stablecoins,Lista CDP,"$320.7M TVL, DefiLlama 2026-08-04, rank 3 of category 'CDP'",11,Cd|Ct|Ex|Li|Ix|Ps|Sl|Em|Up|Tg|Gp,4,1,true,included,Lista CDP,expansion/03-cdp-stablecoins/specs/lista-cdp.json,normalized_exact,PF-CREDIT|PF-MONEY,IN-DEBT|IN-MONEY,ME-COLL|ME-ISSUE,,merge_convert,category_level_draft,money.collateralized_debt_position,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
16,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D03,CDP / collateral-backed stablecoins,Liquity (V1 + V2),"$207.9M TVL (V1 $137.2M + V2 $70.6M), DefiLlama 2026-08-04, rank 4 of category 'CDP'",9,Cd|Ct|Rd|Bs|Sl|Li|Ex|Em|Fd,5,4,true,included,Liquity (V1 + V2),expansion/03-cdp-stablecoins/specs/liquity.json,normalized_exact,PF-CREDIT|PF-MONEY,IN-DEBT|IN-MONEY,ME-COLL|ME-ISSUE,,merge_convert,category_level_draft,money.collateralized_debt_position,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
17,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D03,CDP / collateral-backed stablecoins,crvUSD,"$72.9M TVL (crvUSD; plus Curve LlamaLend $61.4M filed under 'Lending'), DefiLlama 2026-08-04, rank 5 of category 'CDP'",11,Cd|Ct|Tp|Cl|Li|As|Ve|Fd|Up|Tg|Gp,4,4,true,not_in_60_suite,,,,PF-CREDIT|PF-MONEY,IN-DEBT|IN-MONEY,ME-COLL|ME-ISSUE,,merge_convert,category_level_draft,money.collateralized_debt_position,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
18,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D04,Liquid staking & restaking,Lido,"$17,578.3M TVL, DefiLlama 2026-08-04, rank 1 of merged 'Liquid Staking'+'Restaking'+'Liquid Restaking'",13,Vl|Sh|Rb|Ex|Ep|Wq|Sl|Bs|Fd|Em|Up|Tg|Gp,5,5,true,included,Lido,expansion/04-liquid-staking/specs/lido.json,normalized_exact,PF-STAKE,IN-STAKE,ME-STAKE,,split_under_parent,category_level_draft,stake.delegation_receipt,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
19,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D04,Liquid staking & restaking,Binance staked ETH (WBETH),"$6,940.0M TVL, DefiLlama 2026-08-04, rank 2",5,Sh|Ix|Rd|Aw|Up,5,3,false,included,Binance staked ETH (WBETH),expansion/04-liquid-staking/specs/binance-staked-eth-wbeth.json,normalized_exact,PF-STAKE,IN-STAKE,ME-STAKE,,split_under_parent,category_level_draft,stake.delegation_receipt,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
20,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D04,Liquid staking & restaking,EigenCloud (EigenLayer),"$5,000.8M TVL, DefiLlama 2026-08-04, rank 3",12,Rs|Sh|Bs|Sl|Ep|Wq|Aw|Vl|Em|Up|Tg|Gp,5,3,true,included,EigenCloud (EigenLayer),expansion/04-liquid-staking/specs/eigencloud-eigenlayer.json,normalized_exact,PF-STAKE,IN-STAKE,ME-STAKE,,split_under_parent,category_level_draft,stake.delegation_receipt,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
21,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D04,Liquid staking & restaking,ether.fi (eETH / weETH),"$3,293.7M TVL (ether.fi Stake; ether.fi Liquid $276.4M is filed separately under 'Onchain Capital Allocator'), DefiLlama 2026-08-04, rank 4",14,Vl|Rs|Rb|Sh|Wq|Ex|Ep|Bs|Sl|Tr|Em|Up|Tg|Gp,4,4,true,included,ether.fi (eETH / weETH),expansion/04-liquid-staking/specs/etherfi-eeth-weeth.json,normalized_exact,PF-STAKE,IN-STAKE,ME-STAKE,,split_under_parent,category_level_draft,stake.delegation_receipt,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
22,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D04,Liquid staking & restaking,Babylon Protocol,"$2,732.9M TVL, DefiLlama 2026-08-04, rank 5",9,Rs|Bs|Sl|Vl|Ep|Wq|Xm|Aw|Em,5,4,true,included,Babylon Protocol,expansion/04-liquid-staking/specs/babylon-protocol.json,normalized_exact,PF-STAKE,IN-STAKE,ME-STAKE,,split_under_parent,category_level_draft,stake.delegation_receipt,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
23,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,Hyperliquid,"#1 by perp volume: $7.611b normalized 24h, $54.207b 7d, $195.602b 30d, $10.713b open interest (DefiLlama /perps, 2026-08-04). 44% of all on-chain perp volume.",14,Ob|Ct|Ex|Pf|Li|Ad|Sl|Sh|Bs|Vl|Xf|Xm|Wq|Gp,6,3,true,included,Hyperliquid,expansion/05-perpetuals/specs/hyperliquid.json,normalized_exact,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
24,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,ApeX Protocol (ApeX Omni),"#2 by perp volume: $1.318b normalized 24h ($1.34b reported), $9.17b 7d, $33.875b 30d, $116.47m OI (DefiLlama /perps, 2026-08-04).",12,Ob|Ct|Ex|Pf|Li|Sh|Bs|Xf|Xm|Em|Up|Tg,4,3,true,included,ApeX Protocol (ApeX Omni),expansion/05-perpetuals/specs/apex-protocol.json,normalized_exact,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
25,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,Aster,"#3 by perp volume: $1.251b normalized 24h, $11.584b 7d, $41.033b 30d, $1.933b OI (DefiLlama /perps, 2026-08-04).",11,Ob|Pm|Sh|Ct|Ex|Pf|Li|Xf|Em|Up|Gp,4,3,false,included,Aster,expansion/05-perpetuals/specs/aster.json,normalized_exact,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
26,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,Lighter,"#4 by perp volume: $1.17b normalized 24h ($1.175b reported), $8.384b 7d, $34.221b 30d, $872.18m OI (DefiLlama /perps, 2026-08-04).",13,Ob|Ct|Ex|Pf|Li|Ad|Sh|Xf|Xm|Wq|Em|Up|Gp,4,3,true,included,Lighter,expansion/05-perpetuals/specs/lighter.json,normalized_exact,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
27,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,edgeX,"#5 by perp volume: $966.24m normalized 24h ($268.11m reported), $6.986b 7d, $20.522b 30d (DefiLlama /perps, 2026-08-04).",12,Ob|Ct|Ex|Pf|Li|Sh|Bs|Xf|Xm|Em|Up|Gp,3,3,true,included,edgeX,expansion/05-perpetuals/specs/edgex.json,normalized_exact,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
28,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,Jupiter Perpetual Exchange,"OUTSIDE the volume top 5, included deliberately as the oracle-priced-pool control: #1 in DefiLlama's 'Derivatives' category by TVL at $703.6m (api.llama.fi/protocols, 2026-08-04). Included because all five volume leaders are order-book venues, so a volume-only top 5 would have tested zero pool-based designs.",8,Pm|Sh|Ex|Ct|Sr|Li|Up|Gp,4,2,true,not_in_60_suite,,,,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
29,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D05,Perpetuals / derivatives,GMX V2 Perps,"OUTSIDE the volume top 5, included as the second pool-based control and because the brief specifically asks whether the vocabulary separates Hyperliquid from GMX: #3 in DefiLlama's 'Derivatives' category by TVL at $173.5m across 4 chains (api.llama.fi/protocols, 2026-08-04).",13,Pm|Sh|Im|Ex|Ct|Pf|Sr|Li|Ad|Em|Tg|Up|Gp,4,2,true,not_in_60_suite,,,,PF-EXCH,IN-DERIV:perpetual,ME-MARGIN,,merge_instrument_family,category_level_draft,derivative.finite_horizon_perpetual,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
30,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Pendle,"#1 by TVL in DefiLlama categories Yield + Yield Aggregator: $1,197.6m across 12 chains (api.llama.fi/protocols, 2026-08-04). Also $19.06m DEX volume 24h.",8,Ix|Py|Ft|Rd|Ep|Em|Up|Gp,5,3,true,included,Pendle,expansion/06-yield-vaults/specs/pendle.json,normalized_exact,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
31,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Spark Savings (sUSDS / Sky Savings Rate),"#2 by TVL: $1,132.5m across 8 chains (api.llama.fi/protocols, 2026-08-04).",9,Sh|Ix|Sr|Rd|Ps|Xf|Tg|Gp|Up,4,2,true,included,Spark Savings (sUSDS / Sky Savings Rate),expansion/06-yield-vaults/specs/spark-savings.json,normalized_exact,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
32,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Convex Finance,"#3 by TVL: $456.4m across 4 chains (api.llama.fi/protocols, 2026-08-04).",7,Sh|Ix|Em|Ep|Tg|Up|Gp,4,3,true,included,Convex Finance,expansion/06-yield-vaults/specs/convex-finance.json,normalized_exact,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
33,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,CIAN Yield Layer,"#4 by TVL: $244.5m across 7 chains (api.llama.fi/protocols, 2026-08-04). Largest pure 'Yield Aggregator'-classified protocol.",9,Sh|Ix|Fl|Ct|Ex|Wq|Em|Up|Gp,4,2,true,included,CIAN Yield Layer,expansion/06-yield-vaults/specs/cian-yield-layer.json,normalized_exact,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
34,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Huma Finance V2,"#5 by TVL: $219.3m on Solana (api.llama.fi/protocols, 2026-08-04).",10,Uc|Tr|Sh|Ix|Ft|Bs|Ep|Wq|Aw|At,4,4,true,included,Huma Finance V2,expansion/06-yield-vaults/specs/huma-finance-v2.json,normalized_exact,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
35,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Yearn Finance,"OUTSIDE the top 5 (#6 by TVL in Yield + Yield Aggregator: $176.2m across 7 chains, api.llama.fi/protocols, 2026-08-04). Included because the brief names it and because it is the canonical test of whether a strategy is an element.",8,Sh|Ix|Sr|Wq|Em|Tg|Up|Gp,4,2,true,not_in_60_suite,,,,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
36,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Beefy,"OUTSIDE the top 5 (#9 by TVL in Yield + Yield Aggregator: $104.2m across 40 chains, api.llama.fi/protocols, 2026-08-04). Included as the second strategy-aggregator control named in the brief.",5,Sh|Ix|Em|Up|Gp,4,0,true,not_in_60_suite,,,,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
37,Perpetuals/derivatives; Yield/vaults/aggregators; Bridges/cross-domain; Intents/aggregation/order flow,D06,Yield / vaults / aggregators,Steakhouse Financial,"OUTSIDE the two Yield categories and OUTSIDE the top 5 as ranked, but the LARGEST vault operator in DeFi by TVL at $3,084.0m across 10 chains (DefiLlama files it under 'Risk Curators', a category holding $8.76b total; api.llama.fi/protocols, 2026-08-04). Included because excluding it would have hidden the category's real answer: the biggest 'vaults' in DeFi are curated Morpho/Euler vaults, and DefiLlama does not classify them as yield products.",8,Sh|Ix|Im|Ct|Ex|Tg|Gp|Up,4,3,true,not_in_60_suite,,,,PF-AM,IN-SHARE,ME-ALLOC,control:curator_or_automation,rename_split,category_level_draft,asset_management.capped_share_vault,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
