kind,id,title,status,evidence,disposition
experiment,E09,"Seven applications and 72-row manifests",specified-only,"deliverables/moriarty-defiformal-category-strawmen.md","Category strawmen exist; required family applications and reviewed manifests do not."
experiment,E10,"Four-architecture application comparison",specified-only,"experiments/moriarty-core-swap/toolchain-results.json","Only the generated-Compact swap path has run."
experiment,E11,"Recurring schedules at 10 100 and 1000 periods",specified-only,"experiments/structural-benchmarks-2026-09-02.json","Unrolling is measured; rollover and certified iteration are not."
experiment,E12,"High-party close and continuation availability",specified-only,"experiments/structural-benchmarks-2026-09-02.json","Structural fan-out is measured; staged claims and availability failure are not."
experiment,E13,"Initial-state unit overflow and terminal tests",specified-only,"experiments/typed-values-results-2026-09-02.json; experiments/moriarty-core-swap/translation-certificate.json","E00 terminal, integer-width, and deadline-boundary regressions pass; the broader invalid-initial-state and overflow matrix has not run."
experiment,E14,"Action-set concurrency cancellation and replay",specified-only,"experiments/moriarty-core-swap/translation-certificate.json","One bounded choice and timeout are tested; action-set semantics are not."
experiment,E15,"Bounded-mandate attacks",specified-only,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","No executable mandate primitive exists."
experiment,E16,"Conditional-token lifecycle",specified-only,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","No executable split and merge primitive exists."
experiment,E17,"Oracle attacks and privacy leakage",specified-only,"wiki/security.md","Threats are specified; no oracle harness has run."
experiment,E18,"Witness artifact manifest and version attacks",specified-only,"tests/test_translation_certificate.py; wiki/security.md","The corrupted backend is detected; the complete adversarial matrix has not run."
experiment,E19,"Real proof generation and verification",specified-only,"experiments/moriarty-core-swap/toolchain-results.json","Mock compilation passed; proof parameters keys and proofs were not generated."
experiment,E20,"Proof ledger and transaction cost measurement",not-started,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","No real proof or network cost distribution exists."
experiment,E21,"Two-system reproducible build",not-started,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","Only one local host has built E00."
experiment,E22,"Ten-thousand traces per application",specified-only,"experiments/moriarty-core-swap/translation-certificate.json","E00 passed 1000 traces; the release-scale corpus has not run."
experiment,E23,"Malicious planner and client verifier",not-started,"wiki/security.md","No client verifier implementation exists."
experiment,E24,"Marlowe V1 translation dry run",not-started,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","No translator or equivalence report exists."
experiment,E25,"User study and pilot commitments",not-started,"deliverables/moriarty-90-day-research-sprint-2026-09-03.md","No genuine participant data or committed pilots exist."
deliverable,D01,"Executive decision and no-redesign case",implemented,"wiki/decision.md; deliverables/moriarty-decision-study-2026-09-02.md","Recommendation is gated and not yet day-90 decision-grade."
deliverable,D02,"Evidence and contradiction inventory",implemented,"evidence/source-inventory.csv; wiki/contradictions.md","Current inventory exists; moving claims require later refresh."
deliverable,D03,"Repository package specification and trust graph",implemented,"evidence/moriarty-decision-graph-2026-09-03.json; wiki/marlowe-repository-graph.md","Persistent graphs exist; the decision graph includes the E00 Core Compact ZKIR and certificate chain."
deliverable,D04,"Reproduced DeFiFormal audit",reproduced,"wiki/defiformal-taxonomy.md; evidence/defiformal-taxonomy-metrics-2026-09-02.json","Major published counts and taxonomy diagnostics are reproduced."
deliverable,D05,"Recommended taxonomy and migration map",implemented,"wiki/defiformal-taxonomy.md; evidence/defiformal-72-protocol-family-facet-crosswalk-2026-09-02.csv","M2+M3 human taxonomy and M5 internal profile are recorded."
deliverable,D06,"Complete 72-row new mapping",implemented,"evidence/defiformal-72-protocol-family-facet-crosswalk-2026-09-02.csv","All 72 rows have family facet and kernel flags."
deliverable,D07,"Marlowe capability matrix for 72 rows",specified-only,"deliverables/moriarty-defiformal-category-strawmen.md","Category strawmen do not satisfy the row-level requirement."
deliverable,D08,"Marlowe theorem and portability matrix",specified-only,"wiki/formal-assurance.md","Initial theorem qualifications exist; full correspondence and portability matrix does not."
deliverable,D09,"Seven applications and 72 bounded instances",specified-only,"deliverables/moriarty-defiformal-category-strawmen.md","No complete generated application suite exists."
deliverable,D10,"Moriarty Core and surface specification",specified-only,"wiki/moriarty-architecture.md; docs/superpowers/specs/2026-09-03-moriarty-core-swap-stop-test-design.md","E00 defines one Core subset; the full grammar types effects and diagnostics remain open."
deliverable,D11,"Flagship Compact ZKIR proof and differential artifacts",specified-only,"experiments/moriarty-core-swap/","Escrow and swap mock-compile; flagship suite and real proofs remain open."
deliverable,D12,"Compact ZKIR Midnight assurance dossier",specified-only,"wiki/midnight-repositories.md; experiments/moriarty-core-swap/toolchain-results.json","Repository and mock evidence exist; proof key ledger and upgrade assurance remain open."
deliverable,D13,"SDK Runtime wallet and deployment architecture",specified-only,"wiki/moriarty-architecture.md","Architecture is not yet an implementable interface specification."
deliverable,D14,"Threat model audit and incident plan",specified-only,"wiki/security.md","Threat table exists; economic matrix privacy report and incident runbook remain open."
deliverable,D15,"Normative semantics and verification plan",specified-only,"wiki/formal-assurance.md","No proof assistant decision or release conformance suite exists."
deliverable,D16,"Marlowe coexistence and migration plan",specified-only,"deliverables/moriarty-decision-study-2026-09-02.md","No translation classification or rehearsal exists."
deliverable,D17,"Repository team funding and governance plan",specified-only,"deliverables/moriarty-90-day-research-sprint-2026-09-03.md","Sprint staffing range exists; ownership and proposal process remain incomplete."
deliverable,D18,"90-day 12-month and 24-month roadmap",implemented,"deliverables/moriarty-90-day-research-sprint-2026-09-03.md; deliverables/moriarty-decision-study-2026-09-02.md","Phases and gates exist; cost inputs are planning estimates."
deliverable,D19,"Adoption study and pilots",not-started,"wiki/decision.md","Positioning is proposed; no participant evidence or commitments exist."
deliverable,D20,"Agentic-council packet",implemented,"deliverables/moriarty-agentic-council-record-2026-09-03.md","Provider evidence dissent and Fable abstention are preserved."
deliverable,D21,"Stakeholder pre-read and decision packet",implemented,"deliverables/moriarty-stakeholder-preread.md","Pre-read exists; it needs refresh after semantic motions and flagship experiments."
deliverable,D22,"Machine-readable status and release records",specified-only,"evidence/moriarty-goal-completion-matrix-2026-09-03.csv; evidence/defiformal-72-protocol-family-facet-crosswalk-2026-09-02.csv","Status matrix exists; complete claim ledger experiment manifest and release checklist remain open."
