ordinal,protocol,inherited_family,inherited_secondary_families,inherited_subtype,inherited_kernel_flag,inherited_construction_status,proposed_status,package_behaviors,semantic_requirements,capabilities,row_specific_requirement,source_file,source_pointer,source_commit,representative_model_locator,source_omissions,residue_count,forced_count
11,Compound V3,F2,,collateralized_credit,yes,not_in_60_suite,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Inert collateral; distinct thresholds; absorption then collateral sale,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/1/protocols/5,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,4,3
12,"Sky (Sky Lending, ex-MakerDAO)",F2,,collateralized_debt_issuer,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Issuance; policy rate; auction descent/reset; surplus and recapitalization; external allocation,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/2/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,5,4
13,Ethena (USDe / sUSDe),F2,F3,derivative_hedged_issuer,no,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,F2+F3 hedge maintenance; venue/custody exposure; external funding,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/2/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,6,7
14,USDD,F2,,collateralized_debt_issuer,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,CDP plus reserve subsidy/manager; administered rate provenance,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/2/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,4,3
15,Lista CDP,F2,,collateralized_debt_issuer,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Staking receipt collateral dependency; gas compensation; auction policy,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/2/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,4,1
16,Liquity (V1 + V2),F2,,collateralized_debt_issuer,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,V1/V2 distinction; recovery regime; redemption ordering; borrower rates; batch manager,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/2/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,5,4
17,crvUSD,F2,,collateralized_debt_issuer,yes,not_in_60_suite,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Band soft liquidation; peg keeper; feedback rate controller,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/2/protocols/5,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,4,4
18,Lido,F4,,consensus_position_claim,yes,included,requirements identified; not implemented or verified,Stake/share claims; operator allocation; exit queues,Encumbrance; slash attribution; reward/loss checkpoints; queue/finalize/claim,ValidatorEvent; consensus proof; CustodyAttestation where custodial,Operator scheduling; reward/loss reports; exit/finalization; veto authority,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/3/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L2/lido.qnt:1;quint-models/L2/eigenlayer.qnt:65,"Validator machinery, queue details, AVS registration and deallocation proofs/delays omitted",5,5
19,Binance staked ETH (WBETH),F4,,custodial_consensus_claim,no,included,requirements identified; not implemented or verified,Stake/share claims; operator allocation; exit queues,Encumbrance; slash attribution; reward/loss checkpoints; queue/finalize/claim,ValidatorEvent; consensus proof; CustodyAttestation where custodial,Custodial staking; operator exchange rate/redemption; external validators,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/3/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L2/lido.qnt:1;quint-models/L2/eigenlayer.qnt:65,"Validator machinery, queue details, AVS registration and deallocation proofs/delays omitted",5,3
20,EigenCloud (EigenLayer),F4,,consensus_position_claim,yes,included,requirements identified; not implemented or verified,Stake/share claims; operator allocation; exit queues,Encumbrance; slash attribution; reward/loss checkpoints; queue/finalize/claim,ValidatorEvent; consensus proof; CustodyAttestation where custodial,Delegated slashing; allocation/deallocation delay; redistribution; AVS adjudication,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/3/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L2/lido.qnt:1;quint-models/L2/eigenlayer.qnt:65,"Validator machinery, queue details, AVS registration and deallocation proofs/delays omitted",5,3
21,ether.fi (eETH / weETH),F4,,consensus_position_claim,yes,included,requirements identified; not implemented or verified,Stake/share claims; operator allocation; exit queues,Encumbrance; slash attribution; reward/loss checkpoints; queue/finalize/claim,ValidatorEvent; consensus proof; CustodyAttestation where custodial,Multiple restaking exposures; operator selection; distributed validator signing,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/3/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L2/lido.qnt:1;quint-models/L2/eigenlayer.qnt:65,"Validator machinery, queue details, AVS registration and deallocation proofs/delays omitted",4,4
22,Babylon Protocol,F4,,consensus_position_claim,yes,included,requirements identified; not implemented or verified,Stake/share claims; operator allocation; exit queues,Encumbrance; slash attribution; reward/loss checkpoints; queue/finalize/claim,ValidatorEvent; consensus proof; CustodyAttestation where custodial,Source-chain locked stake; timestamping; covenant committee; slashing and unbonding race,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/3/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L2/lido.qnt:1;quint-models/L2/eigenlayer.qnt:65,"Validator machinery, queue details, AVS registration and deallocation proofs/delays omitted",5,4
23,Hyperliquid,F3,,perpetual_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Perpetual matching/mark/ADL/HLP needs distinct evidence; named model is Bridge2 only,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,6,3
24,ApeX Protocol (ApeX Omni),F3,,perpetual_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Off-chain matching; validity proof; data availability; forced exit; not older eAMM,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,4,3
25,Aster,F3,,perpetual_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Distinct CLOB/pool regimes sharing collateral; hidden orders; yield-bearing collateral,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,4,3
26,Lighter,F3,,perpetual_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Matching/execution integrity; liquidation correctness; data availability,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,4,3
27,edgeX,F3,,perpetual_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Validium versus rollup availability/forced exits; designated liquidity providers,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,3,3
28,Jupiter Perpetual Exchange,F3,,perpetual_derivative,yes,not_in_60_suite,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Borrow fee rather than long-short funding; JLP exposure; basket weights/caps; oracle execution,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/5,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,4,2
29,GMX V2 Perps,F3,,perpetual_derivative,yes,not_in_60_suite,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,OI-skew impact; reserve/OI caps; long/short/index asset identity; bid/ask observations,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/0/protocols/6,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,4,2
30,Pendle,F6,,yield_tokenization,yes,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,PT/YT/SY; maturity-aware price/rate units; post-expiry index; explicit rollover,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",5,3
31,Spark Savings (sUSDS / Sky Savings Rate),F6,,savings_rate_vault,yes,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Administered rate/funding source; buffer subsidy; cross-domain representation,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,2
32,Convex Finance,F6,,boost_aggregator,yes,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Liquid claim on locked voting position; vote delegation/boost/incentives; no assumed redemption,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,3
33,CIAN Yield Layer,F6,,managed_vault,no,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Bounded leverage strategy composition; keepers; rebalance/slippage limits,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,2
34,Huma Finance V2,F6,F5,receivables_credit,no,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,F6+F5 receivables; underwriting; junior capital floor/loss waterfall; ordered epoch redemption,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,4
35,Yearn Finance,F6,,strategy_vault,yes,not_in_60_suite,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Strategy debt caps/reports; harvest versus passive accrual; profit unlocking; fee dilution,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/5,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,2
36,Beefy,F6,,strategy_vault,yes,not_in_60_suite,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Strategy-specific harvest/caller reward; named underlying dependencies,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/6,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,0
37,Steakhouse Financial,F6,,risk_curated_vault,no,not_in_60_suite,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Owner/curator/allocator/guardian; caps/delays; fee rights; allocation accountability,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/1/protocols/7,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,3
38,WBTC,F5,,custodial_wrapped_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Merchant/custodian request-confirm; backing evidence; redemption permissions,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,4,2
39,LayerZero V2,infrastructure,,message_verified_bridge,no,included,requirements identified; not implemented or verified,Cross-domain requests; messages; settlement receipts,Domain/verifier identity; asset topology; replay; finality; timeout recovery,CrossDomainFinality; ExecutionWitness; KeeperDelivery,Application-selected verifier; executor/verifier separation; lock/mint versus burn/mint,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L4/across.qnt:1;quint-models/L3/hyperliquid.qnt:1,Across abstracts refunds/slow fills; Hyperliquid source models Bridge2 only,4,2
40,Coinbase Bridge (cbBTC and other wrapped assets),F5,,custodial_wrapped_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Custodian/exchange concentration; issuer authority; source identity; not message verification,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,3,3
41,Hyperliquid Bridge,infrastructure,,message_verified_bridge,no,included,requirements identified; not implemented or verified,Cross-domain requests; messages; settlement receipts,Domain/verifier identity; asset topology; replay; finality; timeout recovery,CrossDomainFinality; ExecutionWitness; KeeperDelivery,Validator-set provenance; dispute/finality; emergency lock; overlapping withdrawals,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L4/across.qnt:1;quint-models/L3/hyperliquid.qnt:1,Across abstracts refunds/slow fills; Hyperliquid source models Bridge2 only,4,3
42,Binance Bitcoin (BTCB),F5,,custodial_wrapped_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Custodial exchange-ledger settlement; mint authority; no assumed trustless proof,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,2,2
43,Circle CCTP,infrastructure,,message_verified_bridge,no,not_in_60_suite,requirements identified; not implemented or verified,Cross-domain requests; messages; settlement receipts,Domain/verifier identity; asset topology; replay; finality; timeout recovery,CrossDomainFinality; ExecutionWitness; KeeperDelivery,Burn/reissue; centralized attestation; fast versus final source observation,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/5,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L4/across.qnt:1;quint-models/L3/hyperliquid.qnt:1,Across abstracts refunds/slow fills; Hyperliquid source models Bridge2 only,4,2
44,Across,infrastructure,,intent_bridge,no,not_in_60_suite,requirements identified; not implemented or verified,Cross-domain requests; messages; settlement receipts,Domain/verifier identity; asset topology; replay; finality; timeout recovery,CrossDomainFinality; ExecutionWitness; KeeperDelivery,Fronted inventory; distinct user-fill and relayer-reimbursement finality; batched refunds,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/2/protocols/6,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models/L4/across.qnt:1;quint-models/L3/hyperliquid.qnt:1,Across abstracts refunds/slow fills; Hyperliquid source models Bridge2 only,4,3
45,LiquidMesh,F1,,solver_or_aggregator_access,no,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Route API/inclusion/private submission external; check submitted bounded route outcomes,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",5,0
46,Binance Wallet,F1,,solver_or_aggregator_access,no,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,RFQ authority; flow-originator fees; related-party liquidity; sponsored execution,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",4,2
47,OKX DEX,F1,,solver_or_aggregator_access,no,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Flow-originator distinctions and cross-domain routing; each settlement capability named,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",3,2
