contract_type,name,upstream_status,moriarty_disposition,study_status,fixture_count,representative,fixture_files,package_behaviors,capabilities,pitfalls,open_gap,source_locator,dictionary_pointer
LAM,Linear Amortizer,Released,planned,requirements-studied; not implemented or vector-tested,31,lam01,repos/actusfrf/actus-tests/tests/actus-tests-lam.json,PAM plus periodic principal redemption; interest base; derived maturity; residual repayment,Rate; FX; scaling,Ceiling in maturity; old-principal accrual; final residual,No package implementation or all-vector execution,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1033,/taxonomy/linearAmortizer
MAR,Margining,Implemented,taxonomy-only,taxonomy disposition only,0,,,Initial and variation margin state,To specify from the named behavior,No invented executable coverage,Do not infer from FUTUR fixture coverage,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/margining,/taxonomy/margining
NAM,Negative Amortizer,Released,planned,requirements-studied; not implemented or vector-tested,22,nam01,repos/actusfrf/actus-tests/tests/actus-tests-nam.json,Fixed total installment; negative amortization; changing maturity,Rate resets,Do not clamp negative redemption; payment-minus-interest denominator,Define invalid and degenerate maturity behavior,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1481,/taxonomy/negativeAmortizer
OPTNS,Option,Implemented,planned,requirements-studied; not implemented or vector-tested,23,option02,repos/actusfrf/actus-tests/tests/actus-tests-optns.json,Call/put payoff; exercise amount/date; delayed settlement,Market/child underlying; exercise event,Exercise eligibility; zero exercise; settlement lag,No package implementation or all-vector execution,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2395,/taxonomy/option
PBN,Perpetual Bonds,absent,taxonomy-only,taxonomy disposition only,0,,,Perpetual interest,To specify from the named behavior,No invented executable coverage,Requires explicit finite horizon,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/perpetualBonds,/taxonomy/perpetualBonds
SWPPV,Plain Vanilla Swap,Released,planned,requirements-studied; not implemented or vector-tested,14,swppv01,repos/actusfrf/actus-tests/tests/actus-tests-swppv.json,Fixed/floating accruals; resets; net or separate payments,Rate; FX,IPFX/IPFL identity and opposite signs,No package implementation or all-vector execution,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2107,/taxonomy/plainVanillaSwap
PAM,Principal at Maturity,Released,planned,requirements-studied; not implemented or vector-tested,25,pam01,repos/actusfrf/actus-tests/tests/actus-tests-pam.json,Principal; accrual; rate resets; capitalization; fees; prepayment; maturity,Rate; FX; scaling; behavioral observations,Reset caps/floors; role signs; separate calculation/payment dates,Numeric/calendar profiles require independent all-field comparison,repos/actusfrf/actus-techspecs/actus-techspecs.tex:773,/taxonomy/principalAtMaturity
REP,Repurchase Agreement,Planned,planned,taxonomy disposition only,0,,,Asset sale and repurchase,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/repurchaseAgreement,/taxonomy/repurchaseAgreement
SCRCR,Securitization Credit Risk,absent,taxonomy-only,taxonomy disposition only,0,,,Credit-loss waterfall; tranche exhaustion,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/securitizationCreditRisk,/taxonomy/securitizationCreditRisk
SCRMR,Securitization Market Risk,absent,taxonomy-only,taxonomy disposition only,0,,,Cash-flow tranches; interest/principal-only claims,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/securitizationMarketRisk,/taxonomy/securitizationMarketRisk
STK,Stock,Released,planned,requirements-studied; not implemented or vector-tested,10,stk01,repos/actusfrf/actus-tests/tests/actus-tests-stk.json,Purchase; termination; observed/contractual dividends,Dividend observations,Finite horizon; dividend identifiers/default lookup,Resolve observation lookup with fixture terms,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1955,/taxonomy/stock
SWAPS,Swap,Implemented,planned,requirements-studied; not implemented or vector-tested,11,swaps01,repos/actusfrf/actus-tests/tests/actus-tests-swaps.json,Child-contract composition; role override; matching-event netting,Child state/events; shared observations,Stable merge; currencies; repeated event types; child IDs,Need bound depth/child count and independent composition semantics,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2233,/taxonomy/swap
TRSWP,Total Return Swap,absent,taxonomy-only,taxonomy disposition only,0,,,Financing versus income and capital gains,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/totalReturnSwap,/taxonomy/totalReturnSwap
UMP,Undefined Maturity Profile,Released,planned,requirements-studied; not implemented or vector-tested,9,ump01,repos/actusfrf/actus-tests/tests/actus-tests-ump.json,Observed unscheduled principal flows; capitalization; horizon,Behavioral principal events,Bound horizon and observations; do not synthesize missing behavior,Absent from surveyed comparative Haskell,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1847,/taxonomy/undefinedMaturityProfile
BNDWR,Warrant,absent,taxonomy-only,taxonomy disposition only,0,,,Warrant exercise with surviving bond,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/warrant,/taxonomy/warrant
