id,classification_unit,component,version_chain_scope,functions,mechanism,asset_claim,return_source,lifecycle,standards_relationships,authority,dependencies,exit,source_refs,verified_at,research_cutoff,current_vs_historical,confidence,limitations,category_ids,category_assignment_kind,function_scope
CASE-11,component or scoped component composition,Pendle PT-sUSDe-31JUL2025 used in Aave V3 Ethereum Core,"Historical May 15, 2025 market observation; PT matured July 31, 2025","[""FIN-DER"", ""FIN-CRE""]",Principal/yield separation composed with collateralized borrowing,"Maturity principal claim on SY-held yield asset, plus Aave debt; accounting-asset units differ from output tokens",PT purchase discount conditional on redemption; net levered result subtracts borrowing costs,PT maturity and loan maturity are different; loan can continue after PT matures,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""PT representation accepted by EVM lending market"", ""source_refs"": [""C44""], ""evidence_level"": ""official risk-steward reported market use; token bytecode not inspected""}, {""standard"": ""ERC-5115"", ""relationship"": ""ANALOGUE"", ""scope"": ""SY has protocol-specific standardized-yield API; exact formal conformance not established here"", ""source_refs"": [""C15""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Aave risk controls; underlying/SY administration; user borrowing authority,"Pendle SY/PT accounting, sUSDe/USDe backing, oracle, Aave liquidity, liquidation markets",Unwind/repay debt then redeem matured PT through SY; secondary sale before maturity has price impact,"[""C42"", ""C43"", ""C44"", ""C15""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","Market observation supports real integration, not a fresh on-chain replay. Do not label matured July-2025 PT a current lending opportunity or assume every PT is eligible.","[""FIN-DER.4"", ""FIN-CRE.1""]","analyst recommendation, not source author label",
CASE-12,component or scoped component composition,Centrifuge AsyncVault external-asset subscription/redemption component,EVM protocol AsyncVault / share-token architecture; JTRSY fund documents are a separate economic example,"[""FIN-MGT""]",Request/issuer-fulfill/claim lifecycle; external share token; multiple investment-asset entry points,Permissioned tokenized fund share; exact rights depend on specific issuer/fund documents,External portfolio income net costs; wrapper itself generates no income,Asynchronous deposit and redemption; valuation time and fulfillment time separate,"[{""standard"": ""ERC-7540"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""AsyncVault request lifecycle"", ""source_refs"": [""C16""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-7575"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""external share/multi-entry vault architecture"", ""source_refs"": [""C17""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""share-token representation"", ""source_refs"": [""C28""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Pool issuer fulfills requests; permission manager/share hooks restrict eligible holders; custody and manager authority off-chain,"Fund/custodian/administrator, valuations, asset liquidity, permissions, Hub messaging",Request redeem; await fulfillment and funds; claim assets; accounting conversion is not guaranteed settlement price,"[""C16"", ""C17"", ""C18"", ""C28"", ""C46"", ""C53""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",JTRSY issuer deck establishes external fund economics. We did not bind a specific JTRSY deployment to this exact AsyncVault version or verify legal title. Composition is a documented architecture with product-specific mapping left explicit.,"[""FIN-MGT.2""]","analyst recommendation, not source author label",
CASE-13,component or scoped component composition,Goldfinch V1 Borrower Pool junior/senior financing,"Historical Goldfinch V1 documentation, EVM","[""FIN-CRE"", ""FIN-RSK""]",Negotiated term credit with junior first-loss backing and senior allocation,NFT tracks contribution and redeemed repayments by tranche,Borrower interest; junior compensation reflects first-loss exposure,Term/payment schedule; repayment waterfall and available-cash redemption,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""loan inventory representation; exact asset scoped per pool"", ""source_refs"": [""C19""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","Borrower terms, auditor admission in V1 design, backer underwriting and governance","Borrower/off-chain business, optional legal collateral agreements, senior allocation",Claim proportional available repayments; no automatic liquid collateral recovery promised,"[""C19""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",The source establishes NFTs but not an explicit ERC-721 conformance result. V1 Auditor mechanics are not asserted as current Goldfinch behavior.,"[""FIN-CRE.1"", ""FIN-RSK.2""]","analyst recommendation, not source author label",
CASE-14,component or scoped component composition,Balancer V2 LiquidityBootstrappingPool token-sale component,"Historical/version-scoped EVM V2 LBP, with documented Fjord/Gitcoin examples","[""FIN-CAP"", ""FIN-EXC""]",Weighted AMM whose weights change over owner-defined schedule,Buyer receives sale token; pool owner holds liquidity/proceeds entitlement,Capital raising transfers buyer funds to issuer; no generic return promised,Scheduled weight changes and trading; owner-only joins,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""sale/reserve tokens; exact pool scope required"", ""source_refs"": [""C20""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Pool owner selects weights/times and can pause swaps,"Sale-token rights, owner powers, trading liquidity and token contracts",Buyers sell tokens subject to markets; owner exits pool/proceeds under pool rules,"[""C20""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","An LBP used for treasury disposal performs exchange/capital distribution; classify purpose from the actual sale, not the AMM formula alone.","[""FIN-CAP.1"", ""FIN-EXC.1""]","analyst recommendation, not source author label",CAP when configured for a distinct primary token offering; treasury disposal alone is EXC. Routine vault share issuance is not capital formation.
CASE-15,component or scoped component composition,Opyn Gamma cash-settled European oToken,Historical EVM Gamma V2 source at 841f81d9; no current market availability claim,"[""FIN-DER""]","Collateralized options minting, spread margin and expiry-price cash settlement",Long oToken contingent payoff; seller collateral obligation,Option premium paid by buyer; seller bears contingent loss,European expiry and settlement-price finalization before redemption,"[{""standard"": ""ERC-20"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""oToken fungible option representation"", ""source_refs"": [""C50""], ""evidence_level"": ""pinned source if available; no deployed-bytecode test""}]","Controller, oracle and collateral/series eligibility controls","Expiry oracle, collateral, margin logic and market liquidity",Redeem cash payoff after settlement or offset/sell option before expiry,"[""C30"", ""C50""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",README contains broad at-or-before wording but explicitly identifies Gamma oTokens as European cash-settled; use that narrower version-specific definition.,"[""FIN-DER.2""]","analyst recommendation, not source author label",
CASE-16,component or scoped component composition,GMX V2 oracle-priced perpetual market position,Arbitrum EVM V2 component; exclude current cross-chain account wrappers,"[""FIN-DER"", ""FIN-EXC""]",Oracle-referenced perpetual PnL with flexible collateral and market liquidity,"Leveraged linear USD PnL exposure, not title to referenced underlying",Counterparty PnL/funding transfers; trading/borrowing costs reduce investor outcome,Open-ended position; order execution and collateral/margin constraints,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""market collateral and pool assets"", ""source_refs"": [""C21""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Market/oracle configuration and execution permissions require deployment-specific review,"Price oracle, keepers, pool liquidity, collateral, chain",Close/reduce through order execution and withdraw residual collateral,"[""C21"", ""C54""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No current fee percentage, maximum leverage, deployment address or oracle-security guarantee asserted. Flexible collateral changes overall exposure.","[""FIN-DER.1"", ""FIN-EXC.1""]","analyst recommendation, not source author label",
CASE-17,component or scoped component composition,Gnosis ConditionalTokens split/merge/redeem positions,"Historical reference contract at eeefca66, EVM","[""FIN-DER""]","Collateral split into outcome collections, then oracle payout-vector resolution",ERC-1155 indexed contingent claims on collateral,Redistribution of collateral according to realized outcome; no native interest source,"Prepare, split/trade/merge; oracle resolves; redeem","[{""standard"": ""ERC-1155"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""outcome position representation"", ""source_refs"": [""C31""], ""evidence_level"": ""pinned Solidity inheritance/API; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""backing collateral"", ""source_refs"": [""C31""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Designated oracle controls outcome report; operator approval controls transfers,"Oracle truth/liveness, collateral, payout indexing and downstream market",Merge complete sets before resolution where possible; redeem payouts afterward,"[""C31""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","ConditionalTokens is a position engine; a particular prediction market adds question design, trading and resolution governance.","[""FIN-DER.3""]","analyst recommendation, not source author label",
CASE-18,component or scoped component composition,Yearn V3 TokenizedStrategy single-strategy vault,Pinned EVM strategy specification at 90514f12; strategy-specific implementation remains distinct,"[""FIN-MGT""]",ERC-4626 vault bookkeeping delegated to shared implementation; custom strategy deploy/free/harvest logic,Fungible shares on selected strategy assets; mandate separate from interface,Underlying strategy revenue less fees; reports account for profit/loss,"Deposit/withdraw limits, reporting and optional live accounting; pause/shutdown are distinct","[{""standard"": ""ERC-4626"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""tokenized strategy accounting interface"", ""source_refs"": [""C29""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""strategy shares"", ""source_refs"": [""C29""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-2612"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""share permits"", ""source_refs"": [""C29""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","Management, emergency administrator and keeper; custom strategy can define limits","Strategy assets/protocols, report correctness, valuation and shared implementation",Withdraw within strategy liquidity/limits and unpaused state; shutdown alone is not redemption assurance,"[""C29""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-MGT.1""]","analyst recommendation, not source author label",
CASE-19,component or scoped component composition,Lido stETH core plus WithdrawalQueueERC721,Ethereum pooled-staking and withdrawal components; source docs at access,"[""FIN-SEC""]",Delegated consensus stake with rebasing liquid token and queued ETH exit,stETH pooled staking balance; unstETH NFT is a finalized-or-pending withdrawal claim,"Consensus rewards, execution fees/MEV net protocol fees and losses","Stake, oracle accounting, request, finalize, claim","[{""standard"": ""ERC-20"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""stETH rebasing representation"", ""source_refs"": [""C22""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-721"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""unstETH withdrawal request"", ""source_refs"": [""C23""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-2612"", ""relationship"": ""ACCEPTS"", ""scope"": ""withdrawal requests using token permits"", ""source_refs"": [""C23""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","Operator selection, oracle reporting, governance/pausing and queue roles","Ethereum validator exits/slashing, operators, oracle and contract roles",Queued claim of reserved ETH after finalization or independent secondary-market sale,"[""C22"", ""C23""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",An asynchronous NFT queue need not be ERC-7540. stETH rebasing and wstETH exchange-rate accounting require separate adapter assumptions.,"[""FIN-SEC.1"", ""FIN-SEC.2""]","analyst recommendation, not source author label",
CASE-20,component or scoped component composition,EigenLayer AllocationManager operator-set stake allocation,Pinned EVM source documentation at ef8f9799; includes v1.9 slasher migration boundaries,"[""FIN-SEC""]",Stake magnitude allocated to operator sets with slashability and deallocation rules,"Slashable stake commitment, not an ordinary borrower repayment claim",Security-service compensation if separately offered; base stake rewards distinct,"Allocate/register, exposure interval, deallocate/deregister delays",[],"AVS/slasher/operator permissions, pausing and governance; authorization changes version-sensitive","Strategy assets, operator behavior, AVS slashing criteria, delegation accounting",Deallocate and complete withdrawal processes subject to residual slashability,"[""C32""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",Source shows who can slash and accounting conditions; it does not establish truth of an off-chain offence or live reward adequacy.,"[""FIN-SEC.3""]","analyst recommendation, not source author label",
CASE-21,component or scoped component composition,Nexus Mutual cover claim-assessment component,Documentation distinguishes current post-November-2025 assessment from V1/V2 history,"[""FIN-RSK""]",Loss evidence assessed by Claims Committee or named designated assessor,"Conditional cover payout under product wording, subject to assessment",Cover premiums compensate pooled capital/risk bearing; claimant gets loss payment,"Loss, evidence, vote, cooldown, payout-claim window",[],Assessors decide claims; Advisory Board handles fraud controls; product terms select assessor,"Cover wording, proof of loss, mutual capital, assessment integrity",Claim accepted payout within applicable window; cover is not automatic oracle-triggered insurance,"[""C24""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No universal legal-insurance characterization or current payout-capital adequacy claim. NXM stake-weighted member voting is a historical design, not the current generic description.","[""FIN-RSK.1""]","analyst recommendation, not source author label",
CASE-22,component or scoped component composition,Across V3 SpokePool fill / HubPool optimistic repayment,EVM depositV3 / fillV3Relay and optimistic settlement design; no V4 ZK assertion,"[""FIN-MON"", ""FIN-EXC""]",Origin deposit intent; relayer fronts destination tokens; bundled verified reimbursement,User delivery claim until fill; relayer reimbursement exposure; LP capital exposed to settlement,"User-paid relayer/LP fees compensate capital, execution and settlement risks","Origin inclusion, destination fill and final repayment are separate events","[{""standard"": ""ERC-7683"", ""relationship"": ""ADAPTER"", ""scope"": ""documented open() entry follows former order/settler draft; resolver-revision conformance not established"", ""source_refs"": [""C26""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""transfer/settlement assets"", ""source_refs"": [""C26""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","Dataworker/HubPool roles, UMA disputes, protocol configuration and optional exclusive fill period","Two-chain finality, relayer capital, UMA economic verification, canonical bridges, token controls",Recipient receives destination fill; relayer awaits reimbursement; unfilled/slow path governed by protocol rules,"[""C25"", ""C26"", ""C27""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",A destination action can be atomic with its local fill; no universal all-or-nothing cross-chain settlement follows. Do not reuse the old ERC-7683 interface description for the new resolver revision.,"[""FIN-EXC.2"", ""FIN-MON.3""]","analyst recommendation, not source author label",MON for cross-chain asset delivery; EXC only for the documented Swap API/configurations exchanging different assets. Relayer reimbursement alone is not labeled separate credit.
CASE-23,component or scoped component composition,Drift V2 Solana perpetual order/margin component,Historical/scoped protocol-v2 code at 13e8e9b8; current docs branding is not used as deployment evidence,"[""FIN-DER"", ""FIN-EXC""]",Keeper/DLOB order matching with AMM fallback and collateralized perpetual accounting,Solana account position and collateral balances; no ERC token required,Counterparty funding/PnL and fees; liquidity providers face inventory/counterparty risk,"Order filling, funding accrual, margin checks and liquidation","[{""standard"": ""ERC-20"", ""relationship"": ""ANALOGUE"", ""scope"": ""SPL-token/account assets serve analogous financial role; ERC conformance is inapplicable"", ""source_refs"": [""C33""], ""evidence_level"": ""chain/source distinction""}]",Program/admin and market/oracle configuration require deployment review,"Solana execution, keeper/order discovery, oracle, collateral and liquidation liquidity",Offset/close position and withdraw free collateral under protocol rules,"[""C33"", ""C39"", ""C40""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","Repository source availability does not establish deployed program identity or current market operation. The case tests taxonomy generality, not cross-chain interface compatibility.","[""FIN-DER.1"", ""FIN-EXC.1""]","analyst recommendation, not source author label",
