id,name,parents,definition,inclusion_test,exclusion_test,neighbors,mechanisms,asset_position_types,principal_dependencies,representative_implementations,relevant_standards,source_refs,classification_kind,confidence,verified_at,cutoff
FIN-MON.3,Escrow and conditional settlement,"[""FIN-MON""]",Hold value until agreed release/refund conditions are met.,A custodied balance secures delivery or another obligation.,A cross-chain message alone moves no funds and proves no escrow.,"[""FIN-MON.2"", ""FIN-EXC.2""]","[""hash/time conditions"", ""adjudicated release"", ""atomic delivery versus payment""]","[""conditional beneficiary/refund claim""]","[""arbiter"", ""timeouts"", ""counterparty fulfillment"", ""finality""]","[""Across SpokePool deposit (trade leg)""]","[""ERC-20"", ""ERC-1271"", ""ERC-5164""]","[""P1 \u00a73.5 pp13\u201314; P4 \u00a73.3 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-EXC.1,Trading venues and liquidity provision,"[""FIN-EXC""]",Price or match transfers and maintain trading liquidity.,Traders execute against matched orders or a liquidity inventory.,A price oracle publishes data; it need not execute trades.,"[""FIN-EXC.2"", ""FIN-DER.1""]","[""constant-function/concentrated AMM"", ""CLOB"", ""RFQ"", ""batch matching""]","[""inventory ownership or liquidity position""]","[""price impact"", ""adverse selection"", ""ordering"", ""token behavior""]","[""Uniswap V3 pool"", ""Osmosis pool""]","[""ERC-20"", ""ERC-721"", ""ERC-6909""]","[""P1 \u00a73.1 pp7\u201310; P4 \u00a73.1 pp3\u20134""]",recommendation,medium,2026-09-09,2026-09-08
FIN-EXC.2,Routing and coordinated trade execution,"[""FIN-EXC""]",Select and coordinate venues or counterparties to satisfy a trade instruction.,"The service chooses a path, match or fulfillment plan for an exchange.",A settlement message bus without financial routing is infrastructure.,"[""FIN-EXC.1"", ""FIN-MON.3""]","[""aggregator path search"", ""solver auction"", ""intent resolution""]","[""signed trade authority"", ""escrow and fulfillment claims""]","[""solver competition"", ""authorization"", ""venue adapters"", ""chain finality""]","[""CoW settlement"", ""Across SpokePool""]","[""ERC-7683"", ""EIP-712"", ""ERC-1271"", ""ERC-2612"", ""ERC-3009""]","[""P1 \u00a73.1 pp7\u201310; P4 \u00a73.1 pp3\u20134""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CRE.1,Inventory-funded lending,"[""FIN-CRE""]","Lend existing assets against repayment duties, with pooled, isolated or matched funding.",An agreed financing advance creates repayment duties denominated in an existing asset.,"Pure debt-asset minting is CRE.2, not inventory lending. A solver reimbursement incidental to trade settlement is EXC.2; add CRE.1 only for a separately agreed financing service. An allocator owns MGT.1.","[""FIN-CRE.2"", ""FIN-CRE.3"", ""FIN-MGT.1""]","[""utilization curves"", ""bilateral negotiation"", ""credit accounts"", ""liquidation""]","[""lender receivable/share"", ""borrower debt and collateral position""]","[""oracle"", ""underwriting"", ""collateral sale liquidity"", ""default waterfall""]","[""Aave V3 market"", ""Morpho Blue market"", ""Maple loan""]","[""ERC-20"", ""ERC-4626"", ""ERC-3525"", ""ERC-3475"", ""ERC-7092""]","[""P2 \u00a7\u00a7III\u2013V pp3\u20138; P4 \u00a73.2 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CRE.2,Credit issuance,"[""FIN-CRE""]",Create new debt units against an obligation to repay or settle collateral.,The advance increases an issued debt asset supply under a borrower obligation.,Reserve-backed token subscription without borrower debt is MON.1 only.,"[""FIN-MON.1"", ""FIN-CRE.1""]","[""collateralized debt position"", ""debt ceilings"", ""stability fee"", ""mint/burn""]","[""issuer debt unit plus separate borrower debt position""]","[""collateral appraisal"", ""mint authority"", ""liquidation"", ""monetary feedback""]","[""Maker Vat/Dai""]","[""ERC-20""]","[""P2 \u00a7\u00a7III\u2013V pp3\u20138; P4 \u00a73.2 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CRE.3,Transaction-scoped liquidity,"[""FIN-CRE""]",Advance assets with repayment or an equivalent settlement condition before the enclosing atomic scope ends.,A callback grants temporary purchasing power and enforces repay-or-revert.,Same-block timestamps do not provide rollback across transactions.,"[""FIN-CRE.1"", ""FIN-EXC.1""]","[""flash loan"", ""flash swap"", ""flash accounting""]","[""temporary obligation without persistent lender receivable""]","[""callback"", ""initiator identity"", ""fee"", ""approved asset"", ""atomic scope""]","[""Aave V3 flashLoan"", ""Uniswap flash behavior""]","[""ERC-3156""]","[""P2 \u00a7\u00a7III\u2013V pp3\u20138; P4 \u00a73.2 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CAP.1,Primary issuance and subscription,"[""FIN-CAP""]",Sell or allocate newly issued claims to raise capital.,A distinct primary offering raises capital for an issuer or project in exchange for newly issued rights.,"Routine deposit receipts or redeemable share accounting for an existing investment mandate are MGT, not automatically capital formation. Add CAP only for a separately identified capital-raising offering. Secondary trading is EXC.1.","[""FIN-CRE.2"", ""FIN-EXC.1""]","[""fixed subscription"", ""auction"", ""bonding-curve issuance""]","[""equity/fund/debt/utility units with explicit rights""]","[""issuer authority"", ""allocation policy"", ""legal rights"", ""proceeds custody""]","[""Balancer V2 liquidity bootstrapping use""]","[""ERC-20"", ""ERC-3525"", ""ERC-3475"", ""ERC-3643""]","[""P1 Fig1 p2 limited coverage; analyst extension tested by LBP case""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CAP.2,Conditional collective funding,"[""FIN-CAP""]","Pool contributions subject to a funding goal, delivery condition or refund rule.",Contributor capital finances a project subject to collective conditions.,An unconditional payment donation is MON.2; treasury investment is MGT.2.,"[""FIN-MON.3"", ""FIN-CAP.1""]","[""crowdfund escrow"", ""milestone releases"", ""refund thresholds""]","[""contribution and possible refund claim""]","[""beneficiary"", ""adjudication"", ""deadline"", ""project delivery""]","[""Coverage design"", ""no measured deployment asserted""]","[""ERC-20"", ""ERC-1155""]","[""P1 Fig1 p2 limited coverage; analyst extension tested by LBP case""]",recommendation,medium,2026-09-09,2026-09-08
FIN-DER.1,Linear price exposure,"[""FIN-DER""]",Provide linear or approximately linear exposure to a reference price with explicit margin/funding/settlement.,Position payout responds to the referenced price without requiring asset delivery now.,Holding a redeemable wrapped asset is not sufficient.,"[""FIN-EXC.1"", ""FIN-DER.2""]","[""futures"", ""perpetual mark/index"", ""cash or physical settlement""]","[""margined long/short obligation""]","[""oracle"", ""funding"", ""insurance/backstop"", ""liquidator and liquidity""]","[""Drift perpetual market""]","[""ERC-20""]","[""P1 \u00a73.8 pp15\u201316; P4 \u00a73.5 pp4\u20135""]",recommendation,medium,2026-09-09,2026-09-08
FIN-DER.2,Optional and structured payoffs,"[""FIN-DER""]",Provide exercise rights or nonlinear combinations of reference-dependent payments.,Payoff changes nonlinearly or is conditional on exercise/structured thresholds.,A loss-specific cover also uses RSK; leverage alone is not an option.,"[""FIN-DER.1"", ""FIN-RSK.1""]","[""options"", ""capped/floored return"", ""payoff replication""]","[""option or structured note""]","[""option writers"", ""premium"", ""margin"", ""exercise window"", ""settlement data""]","[""Opyn Gamma option design""]","[""ERC-20"", ""ERC-1155"", ""ERC-3525""]","[""P1 \u00a73.8 pp15\u201316; P4 \u00a73.5 pp4\u20135""]",recommendation,medium,2026-09-09,2026-09-08
FIN-DER.3,Event and outcome claims,"[""FIN-DER""]",Allocate payoffs according to a resolved external or on-chain event.,A resolution rule determines which contingent claims pay.,Claims paying specifically on insured loss also use RSK.1.,"[""FIN-RSK.1"", ""FIN-DER.2""]","[""binary/multioutcome shares"", ""oracle resolution"", ""dispute window""]","[""outcome token""]","[""resolver"", ""event wording"", ""challenge process"", ""collateral""]","[""Gnosis Conditional Tokens""]","[""ERC-1155"", ""ERC-165""]","[""P1 \u00a73.8 pp15\u201316; P4 \u00a73.5 pp4\u20135""]",recommendation,medium,2026-09-09,2026-09-08
FIN-DER.4,Interest and yield exposure transformation,"[""FIN-DER""]","Separate, exchange or hedge future cash-flow/rate exposure.",A claim changes exposure to future yield or an interest index.,Fixed-interest debt alone stays CRE.1; a principal strip also records its underlying debt/asset claim.,"[""FIN-CRE.1"", ""FIN-MGT.1""]","[""principal/yield split"", ""rate swap"", ""fixed/floating exchange""]","[""principal strip"", ""yield strip"", ""rate derivative""]","[""underlying yield asset"", ""maturity"", ""negative yield"", ""index/oracle""]","[""Pendle PT/YT market""]","[""ERC-5095"", ""ERC-5115"", ""ERC-20""]","[""P1 \u00a73.8 pp15\u201316; P4 \u00a73.5 pp4\u20135""]",recommendation,medium,2026-09-09,2026-09-08
FIN-MGT.1,Strategy and credit allocation,"[""FIN-MGT""]",Allocate capital among selected strategies or credit venues under a mandate.,Manager/allocator chooses exposures or limits for participants.,The lending market itself remains CRE.1; automated execution alone need not pool assets.,"[""FIN-CRE.1"", ""FIN-MGT.2""]","[""curated lending allocation"", ""harvest/reinvest"", ""leverage"", ""nested vaults""]","[""portfolio share or managed account claim""]","[""underlying venues"", ""allocator"", ""caps"", ""fees"", ""unwind liquidity""]","[""Morpho MetaMorpho"", ""Yearn V3 vault""]","[""ERC-4626"", ""ERC-7540"", ""ERC-7575""]","[""P2 \u00a7VII pp11\u201313; P4 \u00a73.4 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-MGT.2,"Portfolio, index and treasury management","[""FIN-MGT""]",Maintain diversified or policy-constrained holdings and manage liquidity for a beneficiary.,"A mandate controls holdings, weights, cash or treasury exposures.",An index number without an investable mandate is data infrastructure.,"[""FIN-CAP.1"", ""FIN-MGT.1""]","[""rebalancing"", ""index replication"", ""treasury cash management""]","[""portfolio/fund share or segregated assets""]","[""valuation"", ""custody"", ""manager"", ""tracking error"", ""external rights""]","[""Centrifuge fund vault"", ""Set portfolio design""]","[""ERC-4626"", ""ERC-7540"", ""ERC-7575"", ""ERC-3643"", ""ERC-7943""]","[""P2 \u00a7VII pp11\u201313; P4 \u00a73.4 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-MGT.3,Liquidity-position management,"[""FIN-MGT""]",Choose and maintain exchange liquidity positions for capital owners.,"An agent/strategy manages ranges, inventory or fee reinvestment.",The exchange pool supplies EXC.1; self-directed LP ownership is a position/strategy.,"[""FIN-EXC.1"", ""FIN-MGT.1""]","[""range rebalance"", ""inventory hedging"", ""fee compounding""]","[""managed LP share""]","[""venue hooks"", ""manager"", ""adverse selection"", ""rebalance execution""]","[""Arrakis liquidity vault design""]","[""ERC-4626"", ""ERC-721""]","[""P2 \u00a7VII pp11\u201313; P4 \u00a73.4 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-SEC.1,Consensus capital participation and delegation,"[""FIN-SEC""]",Commit or delegate capital to consensus validation under reward and penalty rules.,Capital is exposed to validator duties and consensus withdrawal rules.,An ERC-20 staking incentive with no security duty is not consensus staking.,"[""FIN-SEC.2"", ""FIN-MGT.1""]","[""validator deposit"", ""delegation"", ""reward accrual"", ""slashing""]","[""stake or delegated stake claim""]","[""validator"", ""chain rewards"", ""slashing"", ""exit queue""]","[""Ethereum validator deposit"", ""Lido staking pool""]","[""ERC-20""]","[""P1 \u00a73.6 pp14\u201315; contemporary case extension""]",recommendation,medium,2026-09-09,2026-09-08
FIN-SEC.2,Liquid security-capital claims,"[""FIN-SEC""]",Issue transferable claims on capital committed to consensus or shared security.,A receipt gives economic exposure to underlying security capital and its exit conditions.,"Liquid receipt collateral in a loan adds CRE, without relabeling the loan as staking.","[""FIN-SEC.1"", ""FIN-SEC.3""]","[""rebasing receipt"", ""exchange-rate wrapper"", ""withdrawal request""]","[""staking or restaking receipt""]","[""operators"", ""share accounting"", ""queue"", ""secondary liquidity""]","[""Lido stETH/wstETH""]","[""ERC-20"", ""ERC-721""]","[""P1 \u00a73.6 pp14\u201315; contemporary case extension""]",recommendation,medium,2026-09-09,2026-09-08
FIN-SEC.3,Shared-security allocation,"[""FIN-SEC""]",Assign capital-backed security obligations across additional services.,Committed capital secures additional service duties with defined allocation and penalties.,Looped lending yield without security duties is not restaking.,"[""FIN-SEC.1"", ""FIN-RSK.2""]","[""operator delegation"", ""restaking"", ""slashable allocation"", ""reward distribution""]","[""restaked exposure and contingent penalty obligation""]","[""service rules"", ""operator"", ""slashing authority"", ""collateral reuse""]","[""EigenLayer allocation/delegation""]","[""ERC-20""]","[""P1 \u00a73.6 pp14\u201315; contemporary case extension""]",recommendation,medium,2026-09-09,2026-09-08
FIN-RSK.1,Protection and cover,"[""FIN-RSK""]",Provide payment or loss reimbursement when defined covered conditions are accepted.,Beneficiary acquires a protection entitlement separate from ordinary asset appreciation.,Outcome speculation alone is DER.3; transfer controls are not legal insurance.,"[""FIN-DER.3"", ""FIN-RSK.2""]","[""mutual claims assessment"", ""parametric trigger"", ""capped indemnity""]","[""cover claim""]","[""claims authority"", ""exclusions"", ""capital sufficiency"", ""dispute process""]","[""Nexus Mutual cover""]","[""ERC-721"", ""ERC-20""]","[""P3 threat overlay distinct from function; analyst extension tested by cover case""]",recommendation,medium,2026-09-09,2026-09-08
FIN-RSK.2,Subordination and first-loss capital,"[""FIN-RSK""]",Assign differing priorities of loss absorption to claims against shared exposures.,A contractual waterfall specifies junior/senior treatment.,Every risky token is not a tranche; priority must be explicit.,"[""FIN-CRE.1"", ""FIN-MGT.2"", ""FIN-RSK.3""]","[""seniority"", ""credit enhancement"", ""tranche reallocation""]","[""senior/junior claim""]","[""underlying default"", ""valuation"", ""waterfall implementation""]","[""Centrifuge tranche design""]","[""ERC-20"", ""ERC-3525"", ""ERC-7575""]","[""P3 threat overlay distinct from function; analyst extension tested by cover case""]",recommendation,medium,2026-09-09,2026-09-08
FIN-RSK.3,Default and settlement backstops,"[""FIN-RSK""]",Commit capital or guarantees to residual shortfalls from financial settlement.,A reserve or guarantor has a stated role absorbing deficits.,Protocol revenue retained without a defined backstop is only treasury capital.,"[""FIN-RSK.2"", ""FIN-CRE.1"", ""FIN-DER.1""]","[""insurance fund"", ""guarantee"", ""auction recapitalization"", ""mutualization""]","[""contingent loss-bearing capital""]","[""fund adequacy"", ""governance"", ""deficit measurement"", ""recapitalization""]","[""Drift insurance fund""]","[""ERC-20""]","[""P3 threat overlay distinct from function; analyst extension tested by cover case""]",recommendation,medium,2026-09-09,2026-09-08
