id,category_id,standard_id,relationship,scope,evidence_kind,confidence,source_refs,specification_commit,verified_at,implementation_claim
MAP-035,FIN-EXC,ERC-1820,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1820.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-036,FIN-CRE,ERC-1820,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1820.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-037,FIN-MGT,ERC-1820,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1820.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-038,FIN-CRE,ERC-4626,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-4626.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-039,FIN-MGT,ERC-4626,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-4626.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-040,FIN-MGT,ERC-7535,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7535.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-041,FIN-SEC,ERC-7535,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7535.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-042,FIN-MGT,ERC-7540,request_lifecycle,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7540.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-043,FIN-CRE,ERC-7540,request_lifecycle,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7540.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-044,FIN-MGT,ERC-7575,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7575.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-045,FIN-CRE,ERC-7575,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7575.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-046,FIN-RSK,ERC-7575,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7575.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-047,FIN-CRE,ERC-5095,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-5095.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-048,FIN-DER,ERC-5095,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-5095.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-049,FIN-MGT,ERC-5115,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-5115.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-050,FIN-DER,ERC-5115,accounting_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-5115.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-051,FIN-CRE,ERC-3156,execution_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3156.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-052,FIN-EXC,ERC-3156,execution_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3156.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-053,FIN-CAP,ERC-3525,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3525.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-054,FIN-CRE,ERC-3525,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3525.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-055,FIN-DER,ERC-3525,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3525.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-056,FIN-RSK,ERC-3525,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3525.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-057,FIN-CAP,ERC-3475,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3475.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-058,FIN-CRE,ERC-3475,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3475.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-059,FIN-CAP,ERC-7092,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7092.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-060,FIN-CRE,ERC-7092,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7092.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-061,FIN-MON,ERC-3643,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3643.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-062,FIN-CAP,ERC-3643,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3643.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-063,FIN-CRE,ERC-3643,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3643.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-064,FIN-MGT,ERC-3643,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-3643.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-065,FIN-MON,ERC-7943,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7943.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-066,FIN-CAP,ERC-7943,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7943.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-067,FIN-CRE,ERC-7943,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7943.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-068,FIN-MGT,ERC-7943,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7943.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-069,FIN-CAP,ERC-1400,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/EIPs/issues/1411"", ""CATEGORIES.md""]",,2026-09-09,False
MAP-070,FIN-CRE,ERC-1400,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/EIPs/issues/1411"", ""CATEGORIES.md""]",,2026-09-09,False
MAP-071,FIN-MGT,ERC-1400,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/EIPs/issues/1411"", ""CATEGORIES.md""]",,2026-09-09,False
MAP-072,FIN-MGT,ERC-5143,execution_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-5143.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-073,FIN-CRE,ERC-5143,execution_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-5143.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-074,FIN-MGT,ERC-7887,request_lifecycle,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7887.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-075,FIN-CRE,ERC-7887,request_lifecycle,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7887.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-076,FIN-MGT,ERC-8330,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-8330.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-077,FIN-CRE,ERC-8330,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-8330.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-078,FIN-RSK,ERC-8330,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-8330.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-079,FIN-MON,ERC-191,authorization,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-191.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09T05:16:05Z,False
